p31,label_en,label_kk,label_ru,total_entities,covered_entities,missing_entities,coverage_pct,missing_pct
Q1431554,apostolic administration,apostolic administration,апостольская администратура,2,0,2,0.0,100.0
Q1434274,agronym,agronym,урочище,8,4,4,50.0,50.0
Q14350,radio station,radio station,вещательная радиостанция,8,5,3,62.5,37.5
Q1437459,non-geologically related mountain range,non-geologically related mountain range,горы,10,5,5,50.0,50.0
Q1440300,,,,1,1,0,100.0,0.0
Q1445650,holiday,мереке,праздник,9,4,5,44.44,55.56
Q1451906,women's organization,women's organization,женская организация,1,0,1,0.0,100.0
Q1454820,,,,1,1,0,100.0,0.0
Q14659,coat of arms,Мемлекеттік герб (елтаңба),герб,6,1,5,16.67,83.33
Q146591,circle of latitude,circle of latitude,параллель,16,0,16,0.0,100.0
Q14660,flag,ту,флаг,1,0,1,0.0,100.0
Q14757767,fourth-level administrative division,fourth-level administrative division,административная единица четвёртого уровня,4,0,4,0.0,100.0
Q1478437,association football competition,association football competition,футбольный турнир,2,1,1,50.0,50.0
Q1478443,association football federation,association football federation,футбольная федерация,1,1,0,100.0,0.0
Q148319,,,,1,1,0,100.0,0.0
Q1493728,,,,1,0,1,0.0,100.0
Q14941854,oil company,oil company,нефтяная компания,1,1,0,100.0,0.0
Q149621,district,district,дистрикт,1,0,1,0.0,100.0
Q1496456,2013 Fed Cup,2013 Fed Cup,Кубок Федерации 2013,1,0,1,0.0,100.0
Q1497364,building complex,building complex,комплекс зданий,9,4,5,44.44,55.56
Q149918,communications satellite,Байланыс серігі,спутник связи,3,2,1,66.67,33.33
Q1503257,magnetic observatory,magnetic observatory,magnetic observatory,1,0,1,0.0,100.0
Q15043657,Tour of Almaty,Алматы Туры 2013,Тур Алматы,7,1,6,14.29,85.71
Q15072596,administrative territorial entity of Kazakhstan,Қазақстан әкімшілік бірліктері,административное деление Казахстана,9,8,1,88.89,11.11
Q150784,canyon,Каньон,каньон,5,2,3,40.0,60.0
Q15079663,,,,1,1,0,100.0,0.0
Q15087423,ISO standard,ISO standard,стандарт ISO,1,1,0,100.0,0.0
Q1510380,grove,grove,роща,1,0,1,0.0,100.0
Q15104814,land boundary,land boundary,сухопутная граница между странами,5,5,0,100.0,0.0
Q15104915,mineral deposit,Кенорын,месторождение полезных ископаемых,117,107,10,91.45,8.55
Q15135589,,,,13,6,7,46.15,53.85
Q15141321,train service,train service,маршрут поезда,2,0,2,0.0,100.0
Q15145593,,,,1,0,1,0.0,100.0
Q151885,concept,ұғым,понятие,2,1,1,50.0,50.0
Q1519799,ministry of health,ministry of health,министерство здравоохранения,2,2,0,100.0,0.0
Q15206795,,,,1,1,0,100.0,0.0
Q15221623,bilateral relation,bilateral relation,двусторонние отношения,170,149,21,87.65,12.35
Q15229207,sports award,sports award,спортивная награда,1,1,0,100.0,0.0
Q15238777,legislative term,legislative term,срок полномочий законодательного органа,2,0,2,0.0,100.0
Q15239622,disputed territory,даулы жер,оспариваемая территория,1,0,1,0.0,100.0
Q15243209,historic district,historic district,исторический район города,1,0,1,0.0,100.0
Q152559,macrolanguage,macrolanguage,макросемья языков по ISO 639-3,1,1,0,100.0,0.0
Q15275719,recurring event,recurring event,регулярное событие,1,0,1,0.0,100.0
Q15284636,presidential term,presidential term,президентский срок,1,0,1,0.0,100.0
Q1529128,postal service,postal service,почтовая компания,1,1,0,100.0,0.0
Q1530022,religious organization,Діни бірлестіктер,религиозная организация,1,0,1,0.0,100.0
Q15324,body of water,бөген,водный объект,1,1,0,100.0,0.0
Q153562,,,,3,2,1,66.67,33.33
Q15410549,public association,Қоғамдық бірлестіктер,общественное объединение,1,0,1,0.0,100.0
Q1546073,covert operation,covert operation,тайная операция,1,1,0,100.0,0.0
Q1549591,big city,big city,большой город,18,18,0,100.0,0.0
Q1550182,mine railway,mine railway,Шахтный электровоз,1,0,1,0.0,100.0
Q1550225,,,,1,1,0,100.0,0.0
Q155271,think tank,ғылыми орталық,аналитический центр,1,0,1,0.0,100.0
Q15617994,administrative territorial entity type,administrative territorial entity type,тип административно-территориальной единицы,1,0,1,0.0,100.0
Q15622363,sheep breed,sheep breed,порода овец,1,1,0,100.0,0.0
Q15640053,tram system,tram system,трамвайная система,5,0,5,0.0,100.0
Q15642541,human-geographic territorial entity,human-geographic territorial entity,геополитическая область,5,0,5,0.0,100.0
Q15661340,,,,4,4,0,100.0,0.0
Q157031,foundation,Айырбас,фонд,3,2,1,66.67,33.33
Q15711797,finance ministry,finance ministry,министерство финансов,1,1,0,100.0,0.0
Q15720476,volleyball team,volleyball team,волейбольная команда,34,8,26,23.53,76.47
Q1572070,youth organization,Балалар ұйымдары,молодёжная организация,1,1,0,100.0,0.0
Q1572791,buran,Боран,буран,1,1,0,100.0,0.0
Q15813069,housing series,housing series,серия дома,6,0,6,0.0,100.0
Q15840617,,,,1,1,0,100.0,0.0
Q158438,arch bridge,arch bridge,арочный мост,2,0,2,0.0,100.0
Q158454,biosphere reserve,Адам және биосфера,биосферный заповедник ЮНЕСКО,9,1,8,11.11,88.89
Q1589009,privately held company,Жеке компания,частная компания,1,1,0,100.0,0.0
Q15911314,association,association,ассоциация,2,1,1,50.0,50.0
Q15911738,hydroelectric power station,су электр станциясы,гидроэлектростанция,14,5,9,35.71,64.29
Q1592877,tectonic uplift,tectonic uplift,тектоническое поднятие,1,0,1,0.0,100.0
Q159313,urban agglomeration,urban agglomeration,городская агломерация,3,1,2,33.33,66.67
Q159334,,,,1,1,0,100.0,0.0
Q1595639,local museum,local museum,краеведческий музей,2,1,1,50.0,50.0
Q159719,power station,электр стансасы,электростанция,2,0,2,0.0,100.0
Q15986354,basketball association,basketball association,баскетбольная федерация,1,0,1,0.0,100.0
Q15991303,association football league,association football league,футбольная лига,4,3,1,75.0,25.0
Q160091,plain,Жазық,равнина,12,12,0,100.0,0.0
Q1601458,combined heat and power station,Жылу Электр Орталығы,теплоэлектроцентраль,15,6,9,40.0,60.0
Q16043215,Sufism of an area,Sufism of an area,суфизм на территории,1,0,1,0.0,100.0
Q16117291,,,конституционный закон,1,0,1,0.0,100.0
Q1616075,television station,television station,телецентр,27,20,7,74.07,25.93
Q1620908,historical region,тарихи аймақ,историческая область,2,2,0,100.0,0.0
Q162602,river island,Өзен аралы,речной остров,1,0,1,0.0,100.0
Q162633,academy,Академия,академия,1,1,0,100.0,0.0
Q162875,mausoleum,кесене,мавзолей,67,52,15,77.61,22.39
Q163021,observation post,observation post,наблюдательный пункт,1,0,1,0.0,100.0
Q16334295,group of humans,адамдар тобы,группа людей,1,0,1,0.0,100.0
Q16349709,Baháʼí Faith of an area,Baháʼí Faith of an area,бахаи на территории,1,0,1,0.0,100.0
Q163687,basilica,Базилика,базилика,1,0,1,0.0,100.0
Q163740,nonprofit organization,коммерциялық емес ұйым,некоммерческая организация,12,1,11,8.33,91.67
Q1639168,climate zone,climate zone,климатическая зона,1,1,0,100.0,0.0
Q163967,peneplain,Пенеплен,пенеплен,1,1,0,100.0,0.0
Q1639780,regulatory agency,regulatory agency,регулирующий орган,8,7,1,87.5,12.5
Q164099,hoard,hoard,hoard,1,0,1,0.0,100.0
Q16434634,,,,3,3,0,100.0,0.0
Q16463,lyceum,Лицей,лицей,1,1,0,100.0,0.0
Q16465938,seasonal river,seasonal river,пересыхающая река,5,0,5,0.0,100.0
Q165,sea,теңіз,море,1,1,0,100.0,0.0
Q16510064,sporting event,sporting event,спортивное мероприятие,40,0,40,0.0,100.0
Q16516287,wedding custom,wedding custom,свадебный обычай,1,0,1,0.0,100.0
Q16519632,scientific organization,scientific organization,научная организация,5,5,0,100.0,0.0
Q1656682,planned event,planned event,мероприятие,1,0,1,0.0,100.0
Q1659844,information ministry,information ministry,министерство информации,1,0,1,0.0,100.0
Q166118,archives,Мұрағат,архив,23,22,1,95.65,4.35
Q166140,registration authority,registration authority,регистрационный орган,1,0,1,0.0,100.0
Q1662118,,,,1,1,0,100.0,0.0
Q16632355,futsal club,futsal club,футзальный клуб,1,1,0,100.0,0.0
Q1664720,institute,institute,институт,5,3,2,60.0,40.0
Q16653233,protected area of ​​Kazakhstan,Қорықша,заповедная зона Казахстана,5,0,5,0.0,100.0
Q166735,swamp,батпақ,заболоченный лес,51,1,50,1.96,98.04
Q16680663,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan,7,0,7,0.0,100.0
Q167037,corporation,Корпорация,корпорация,1,1,0,100.0,0.0
Q16710068,,,,1,1,0,100.0,0.0
Q167170,multi-sport event,multi-sport event,мультиспортивное соревнование,1,1,0,100.0,0.0
Q16725895,visa policy,visa policy,визовая политика,1,1,0,100.0,0.0
Q167270,trademark,тауар таңбасы,товарный знак,1,1,0,100.0,0.0
Q167346,,,,7,6,1,85.71,14.29
Q16738832,criminal case,criminal case,уголовное дело,2,0,2,0.0,100.0
Q168247,famine,Ашаршылық,массовый голод,1,1,0,100.0,0.0
Q16887380,group,group,группа,1,1,0,100.0,0.0
Q16889960,circus building,circus building,здание цирка,4,1,3,25.0,75.0
Q1691434,United Nations treaty,United Nations treaty,договор или конвенция ООН,1,1,0,100.0,0.0
Q16917,hospital,аурухана,больница,5,1,4,20.0,80.0
Q16932246,South Saqqara Stone,South Saqqara Stone,Камень из Южной Саккары,2,0,2,0.0,100.0
Q16970,church building,шіркеу,христианский храм,15,1,14,6.67,93.33
Q169950,,,,1,1,0,100.0,0.0
Q17028018,hunting strategy,hunting strategy,hunting strategy,1,0,1,0.0,100.0
Q17076801,public health emergency of international concern,public health emergency of international concern,"чрезвычайная ситуация в области общественного здравоохранения, имеющая международное значение",1,1,0,100.0,0.0
Q1708422,settlement site,settlement site,место поселения,1,1,0,100.0,0.0
Q17094485,industrial fire,industrial fire,промышленный пожар,1,1,0,100.0,0.0
Q171308,,,,1,1,0,100.0,0.0
Q17156793,American football team,American football team,клуб американского футбола,1,0,1,0.0,100.0
Q1716124,national road,national road,дорога национального значения,1,0,1,0.0,100.0
Q17232649,news website,news website,новостной сайт,2,0,2,0.0,100.0
Q17270000,football club,football club,футбольный клуб,3,1,2,33.33,66.67
Q17272692,IANA time zone,IANA time zone,часовой пояс IANA,1,0,1,0.0,100.0
Q172754,,,,1,1,0,100.0,0.0
Q17305522,data set of a specific country,data set of a specific country,набор данных ISO 3166-2 для конкретной страны,1,1,0,100.0,0.0
Q17315159,international association football match,international association football match,футбольный матч сборных,62,5,57,8.06,91.94
Q17334923,,,,1,1,0,100.0,0.0
Q173387,grave,көр,могила,1,1,0,100.0,0.0
Q17362920,Wikimedia duplicated page,Wikimedia duplicated page,дублирующая страница,2,0,2,0.0,100.0
Q1740919,,,,1,1,0,100.0,0.0
Q17431399,,,,1,1,0,100.0,0.0
Q1747184,mass mortality event,mass mortality event,массовая смерть,1,0,1,0.0,100.0
Q174782,square,алаң,площадь,10,6,4,60.0,40.0
Q17505024,space agency,space agency,космическое агентство,1,1,0,100.0,0.0
Q17524420,aspect of history,aspect of history,исторический аспект,3,0,3,0.0,100.0
Q17537576,,,,1,1,0,100.0,0.0
Q17544377,history of a country or state,history of a country or state,история страны,1,1,0,100.0,0.0
Q1756006,UCI Continental Team,UCI Continental Team,UCI Continental Team,6,0,6,0.0,100.0
Q1756477,league system,league system,система спортивных лиг,1,0,1,0.0,100.0
Q1758037,speaker,Спикер,спикер,1,1,0,100.0,0.0
Q1762059,film production company,film production company,кинокомпания,1,1,0,100.0,0.0
Q1763828,,,,3,3,0,100.0,0.0
Q176637,,,,1,0,1,0.0,100.0
Q176799,military unit,Әскери бөлім,воинское формирование,3,0,3,0.0,100.0
Q177380,hot spring,Термальды су,геотермальный источник,1,1,0,100.0,0.0
Q177414,anticyclone,Антициклон,антициклон,1,1,0,100.0,0.0
Q1774898,clinic,амбулатория,клиника,1,0,1,0.0,100.0
Q1781180,condensation power station,condensation power station,конденсационная электростанция,4,3,1,75.0,25.0
Q1782540,,,,3,3,0,100.0,0.0
Q178561,battle,Арпалыс,битва,8,3,5,37.5,62.5
Q1785733,environmental organization,environmental organization,природоохранная организация,1,0,1,0.0,100.0
Q178706,institution,Әлеуметтік ұйым,общественный институт,1,0,1,0.0,100.0
Q178790,labor union,Тред-юниондар,профессиональный союз,2,1,1,50.0,50.0
Q1788716,military decoration,military decoration,военная награда,2,2,0,100.0,0.0
Q1788820,defence ministry,defence ministry,министерство обороны,1,1,0,100.0,0.0
Q17898,LGBT rights by country or territory,LGBT rights by country or territory,права ЛГБТ на территории,1,0,1,0.0,100.0
Q179049,nature reserve,Қорық,заповедник,4,4,0,100.0,0.0
Q179057,explosion,қопарылыс,взрыв,4,3,1,75.0,25.0
Q1791610,cultural convention,cultural convention,cultural convention,1,0,1,0.0,100.0
Q179164,unitary state,Унитарлы мемлекет,унитарное государство,1,1,0,100.0,0.0
Q179700,statue,statue,статуя,4,1,3,25.0,75.0
Q18043430,national timeline,national timeline,хронология истории страны,1,1,0,100.0,0.0
Q180958,,,,1,0,1,0.0,100.0
Q18127,record label,Дыбысжазба лейблі,лейбл звукозаписи,1,0,1,0.0,100.0
Q18142,tower block,tower block,высотное здание,2,0,2,0.0,100.0
Q181648,foreign policy,сыртқы саясат,внешняя политика,1,1,0,100.0,0.0
Q18199879,trolleybus system,trolleybus system,троллейбусная система,10,1,9,10.0,90.0
Q182103,pension fund,pension fund,пенсионный фонд,1,1,0,100.0,0.0
Q18247357,group of structures or buildings,group of structures or buildings,группа структур и зданий,6,1,5,16.67,83.33
Q18285142,,,,2,2,0,100.0,0.0
Q18325242,ice hockey competition,ice hockey competition,турнир по хоккею с шайбой,2,0,2,0.0,100.0
Q183288,National Olympic Committee,Ұлттық Олимпиада комитеттері,Национальный олимпийский комитет,1,1,0,100.0,0.0
Q183342,federal city of Russia,federal city of Russia,город федерального значения в России,1,1,0,100.0,0.0
Q183366,territory,territory,территория,1,0,1,0.0,100.0
Q18340514,events in a specific year or time period,events in a specific year or time period,хроника в Википедии,28,0,28,0.0,100.0
Q18340550,Wikimedia timeline,Wikimedia timeline,статья — временная шкала,1,0,1,0.0,100.0
Q18369361,UN observance day,UN observance day,UN observance day,1,1,0,100.0,0.0
Q18388277,technology company,technology company,технологическая компания,1,0,1,0.0,100.0
Q18389209,economic corridor,economic corridor,economic corridor,1,0,1,0.0,100.0
Q184356,,,,1,0,1,0.0,100.0
Q184644,,,,2,1,1,50.0,50.0
Q18493502,suicide bombing,suicide bombing,взрыв террориста-смертника,1,0,1,0.0,100.0
Q18509232,fast food restaurant chain,fast food restaurant chain,сеть быстрого питания,1,0,1,0.0,100.0
Q185113,cape,Мүйіс,мыс,17,3,14,17.65,82.35
Q1851368,waterfront,waterfront,набережная,1,0,1,0.0,100.0
Q18536323,basketball league,basketball league,баскетбольная лига,1,0,1,0.0,100.0
Q18564543,international conference,international conference,международная конференция,1,0,1,0.0,100.0
Q18608583,recurring sporting event,recurring sporting event,повторяющееся спортивное событие,22,4,18,18.18,81.82
Q186117,timeline,timeline,хронология,2,0,2,0.0,100.0
Q186347,,,,1,0,1,0.0,100.0
Q18677266,order of merit,order of merit,орден за заслуги,1,1,0,100.0,0.0
Q18704634,railway museum,railway museum,железнодорожный музей,1,0,1,0.0,100.0
Q18729324,razyezd,razyezd,разъезд как населённый пункт,12,7,5,58.33,41.67
Q187456,,,,1,0,1,0.0,100.0
Q1875630,aircraft fleet,aircraft fleet,история использования воздушного судна,1,0,1,0.0,100.0
Q187931,phrase,фраза,фраза,1,0,1,0.0,100.0
Q188025,salt lake,Тұзды көл,минеральное озеро,95,30,65,31.58,68.42
Q188055,siege,siege,осада,5,1,4,20.0,80.0
Q188451,music genre,музыка жанрлары,музыкальный жанр,1,1,0,100.0,0.0
Q188507,apartment,Пәтерді әрлеу,квартира,1,0,1,0.0,100.0
Q189004,college,Колледж,колледж,10,5,5,50.0,50.0
Q189445,,,,1,1,0,100.0,0.0
Q189533,academic degree,ғылыми дәреже,академическая степень,2,0,2,0.0,100.0
Q189819,ritual,Ритуал,ритуал,1,1,0,100.0,0.0
Q190429,depression,депрессия,геологическая депрессия,11,7,4,63.64,36.36
Q190752,supreme court,Жоғарғы сот,верховный суд,1,1,0,100.0,0.0
Q1916382,media conglomerate,media conglomerate,медиаконгломерат,1,1,0,100.0,0.0
Q192283,news agency,Ақпарат агенттігі,информационное агентство,4,2,2,50.0,50.0
Q192350,ministry,министрлік,министерство,11,7,4,63.64,36.36
Q192611,electoral unit,Сайлау округі,избирательный округ,29,0,29,0.0,100.0
Q192691,annual plant,Бір жылдық өсімдіктер,однолетние растения,1,1,0,100.0,0.0
Q192899,finance lease,Қаржы лизингі,лизинг,1,0,1,0.0,100.0
Q192914,cult of personality,жеке басқа табыну,культ личности,1,1,0,100.0,0.0
Q193071,,,,1,1,0,100.0,0.0
Q1933026,launch site,launch site,пусковая площадка,2,0,2,0.0,100.0
Q193424,web service,Веб-қызмет,веб-служба,1,0,1,0.0,100.0
Q19362195,geostationary satellite,geostationary satellite,геостационарный спутник,3,2,1,66.67,33.33
Q193622,order,Орден,орден,13,12,1,92.31,7.69
Q19386377,register,register,реестр,1,1,0,100.0,0.0
Q19393726,,,,1,0,1,0.0,100.0
Q194188,spaceport,Ғарыш айлағы,космодром,3,1,2,33.33,66.67
Q194356,wind farm,Жел электрлік стансысы,ветряная электростанция,1,0,1,0.0,100.0
Q1959314,protected area of Russia,protected area of Russia,особо охраняемая природная территория России,2,1,1,50.0,50.0
Q19595382,Wikidata property for authority control for people,Wikidata property for authority control for people,свойство для нормативного контроля персоналий,2,0,2,0.0,100.0
Q196600,media franchise,media franchise,медиафраншиза,1,1,0,100.0,0.0
Q1968122,National Red Cross and Red Crescent society,National Red Cross and Red Crescent society,национальное общество Красного Креста либо Красного Полумесяца,1,1,0,100.0,0.0
Q1968435,national cuisine,national cuisine,национальная кухня,1,1,0,100.0,0.0
Q1969448,term,термин,термин,1,0,1,0.0,100.0
Q1970365,natural history museum,natural history museum,музей естественной истории,1,0,1,0.0,100.0
Q1973901,economic region,Экономикалық аудан,экономический район,5,5,0,100.0,0.0
Q19753333,nuclear weapons program,nuclear weapons program,программа ядерного оружия,1,0,1,0.0,100.0
Q1975485,,,,1,1,0,100.0,0.0
Q1978718,unit of length,unit of length,единица измерения расстояния,1,1,0,100.0,0.0
Q1982897,,,,1,0,1,0.0,100.0
Q19832486,locomotive class,locomotive class,серия локомотива,6,1,5,16.67,83.33
Q19847637,Wikidata property for an identifier,Wikidata property for an identifier,"свойство Викиданных, представляющее собой идентификатор",2,0,2,0.0,100.0
Q19860854,destroyed building or structure,destroyed building or structure,утраченное здание или строение,5,2,3,40.0,60.0
Q19953632,former administrative territorial entity,former administrative territorial entity,бывшая административно-территориальная единица,1,0,1,0.0,100.0
Q19958368,culture of an area,culture of an area,культура территории,1,1,0,100.0,0.0
Q19973770,ministry of culture,ministry of culture,министерство культуры,2,2,0,100.0,0.0
Q19973795,ministry of energy,ministry of energy,министерство энергетики,1,1,0,100.0,0.0
Q19983480,ministry of communications,ministry of communications,министерство связи,2,1,1,50.0,50.0
Q2001305,television channel,television channel,телеканал,6,2,4,33.33,66.67
Q200141,necropolis,Некрополь,некрополь,21,16,5,76.19,23.81
Q200297,thermal power station,жылу электр станциясы,тепловая электростанция,3,0,3,0.0,100.0
Q20057844,Mormonism of an area,Mormonism of an area,мормонизм на территории,1,0,1,0.0,100.0
Q20057897,business enterprise,business enterprise,business enterprise,1,0,1,0.0,100.0
Q20097215,phosphorite deposit,phosphorite deposit,фосфоритовое месторождение,1,1,0,100.0,0.0
Q201676,funeral,funeral,похороны,1,1,0,100.0,0.0
Q2020153,academic conference,academic conference,научная конференция,2,0,2,0.0,100.0
Q20202072,,,,1,1,0,100.0,0.0
Q2026692,BN reactor,BN reactor,БН,1,0,1,0.0,100.0
Q2026833,garden square,garden square,сквер,1,0,1,0.0,100.0
Q2031615,short program,short program,Короткая программа,8,0,8,0.0,100.0
Q2031836,Eastern Orthodox church building,Eastern Orthodox church building,православный храм,23,6,17,26.09,73.91
Q2042028,ravine,шатқал,ущелье,101,4,97,3.96,96.04
Q204310,gendarmerie,жандармерия,жандармерия,2,2,0,100.0,0.0
Q20437094,,,,1,0,1,0.0,100.0
Q205495,filling station,filling station,автомобильная заправочная станция,1,0,1,0.0,100.0
Q2056313,pastoral visit,pastoral visit,pastoral visit,1,0,1,0.0,100.0
Q20638319,UCI ProTeam,UCI ProTeam,UCI ProTeam,1,1,0,100.0,0.0
Q20639848,club cycling team,club cycling team,команда велоклуба,3,0,3,0.0,100.0
Q20646667,plain stage,plain stage,равнинный этап,2,0,2,0.0,100.0
Q20646668,mountain stage,mountain stage,горный этап,1,0,1,0.0,100.0
Q20646670,hilly stage,hilly stage,холмистый этап,1,0,1,0.0,100.0
Q20652655,amateur cycling team,amateur cycling team,любительская велокоманда,4,0,4,0.0,100.0
Q20653566,UCI Trade Team III,UCI Trade Team III,Groupe Sportif III,1,0,1,0.0,100.0
Q20680270,medium mountain stage,medium mountain stage,среднегорный этап,2,0,2,0.0,100.0
Q2069494,,,,1,1,0,100.0,0.0
Q20719675,raion of the Soviet Union,raion of the Soviet Union,район СССР,34,33,1,97.06,2.94
Q20732405,volost of the Russian Empire,volost of the Russian Empire,волость Российской империи,1,0,1,0.0,100.0
Q207326,summit,Шың,вершина местности,11,1,10,9.09,90.91
Q20738667,under-23 national cycling team,under-23 national cycling team,национальная сборная по велоспорту U23,6,0,6,0.0,100.0
Q207694,art museum,art museum,художественный музей,2,0,2,0.0,100.0
Q207842,,,,1,1,0,100.0,0.0
Q20784907,motorcycle racing team,motorcycle racing team,мотогоночная команда,1,0,1,0.0,100.0
Q207934,,,,1,1,0,100.0,0.0
Q2080304,short dance,short dance,Короткий танец,2,0,2,0.0,100.0
Q20820102,rideable miniature railway,rideable miniature railway,парковая железная дорога,3,0,3,0.0,100.0
Q2085381,publishing house,Баспа,издательство,8,5,3,62.5,37.5
Q20860083,educational facility,educational facility,учебное заведение,1,0,1,0.0,100.0
Q2087181,historic house museum,historic house museum,исторический дом-музей,4,3,1,75.0,25.0
Q2088357,musical ensemble,musical ensemble,музыкальный ансамбль,2,1,1,50.0,50.0
Q20901295,foreign affairs ministry,foreign affairs ministry,министерство иностранных дел,1,1,0,100.0,0.0
Q20926517,religious administrative territorial entity,religious administrative territorial entity,религиозное административно-территориальное образование,1,1,0,100.0,0.0
Q209333,oxbow lake,oxbow lake,старица,1,0,1,0.0,100.0
Q209465,campus,campus,кампус,1,0,1,0.0,100.0
Q2095,food,азық-түлік,пища,1,1,0,100.0,0.0
Q2097208,transculturation,transculturation,транскультурация,1,1,0,100.0,0.0
Q2101619,political slogan,political slogan,политический лозунг,1,0,1,0.0,100.0
Q210167,video game developer,video game developer,разработчик компьютерных игр,2,0,2,0.0,100.0
Q210272,cultural heritage,cultural heritage,культурное наследие,4,1,3,25.0,75.0
Q21077649,Asian Track Cycling Championships,Asian Track Cycling Championships,Чемпионат Азии по трековому велоспорту,2,0,2,0.0,100.0
Q211503,clan,тұқым,род,5,5,0,100.0,0.0
Q21152976,ballet of an area,ballet of an area,балет на территории,1,1,0,100.0,0.0
Q211748,oil field,oil field,нефтяное месторождение,39,33,6,84.62,15.38
Q2122214,national archives,national archives,национальный архив,1,1,0,100.0,0.0
Q2135465,legal term or legal concept,заңи түсінік,юридическое понятие,1,1,0,100.0,0.0
Q2144320,overhead power line,overhead power line,воздушная линия электропередач,1,1,0,100.0,0.0
Q2145163,trunk road,trunk road,магистральная дорога,1,0,1,0.0,100.0
Q21480300,mass shooting,mass shooting,массовый расстрел,1,0,1,0.0,100.0
Q21507948,former village,former village,бывшая деревня,629,99,530,15.74,84.26
Q2151621,energy industry,дәстүрлі энергетика,энергетика,1,1,0,100.0,0.0
Q215380,musical group,musical group,музыкальная группа,4,2,2,50.0,50.0
Q216107,department store,универмаг,универсальный магазин,1,1,0,100.0,0.0
Q21623879,Wikimedia Commons atlas page,Wikimedia Commons atlas page,страница проекта Викисклад:Атлас,1,0,1,0.0,100.0
Q216353,title,Дәреже,титул,1,1,0,100.0,0.0
Q21644177,execution of fellow soldiers,execution of fellow soldiers,расстрел сослуживцев,1,1,0,100.0,0.0
Q21653256,,,,1,1,0,100.0,0.0
Q21663239,Persian dialect,Persian dialect,диалекты персидского языка,1,1,0,100.0,0.0
Q2168243,,,,1,0,1,0.0,100.0
Q21686038,Cabinet of Kazakhstan,Cabinet of Kazakhstan,Cabinet of Kazakhstan,4,1,3,25.0,75.0
Q2175765,tram stop,tram stop,трамвайная остановка,140,0,140,0.0,100.0
Q2177064,Russian Large Landscape,Russian Large Landscape,ландшафт России,1,1,0,100.0,0.0
Q21850178,sanctuary,sanctuary,sanctuary,1,0,1,0.0,100.0
Q218631,customs territory,customs territory,таможенная территория,1,1,0,100.0,0.0
Q21980538,commercial organization,commercial organization,коммерческая организация,1,0,1,0.0,100.0
Q220505,film festival,Кинофестиваль,кинофестиваль,17,1,16,5.88,94.12
Q220659,,,,1,1,0,100.0,0.0
Q2221906,geographic location,geographic location,географическое местоположение,2,0,2,0.0,100.0
Q22222786,government program,government program,правительственная программа,1,1,0,100.0,0.0
Q2223653,terrorist attack,Террорлық акт,террористический акт,1,0,1,0.0,100.0
Q2230431,sound archive,sound archive,фонотека,1,1,0,100.0,0.0
Q2231510,col,col,седловина,1,0,1,0.0,100.0
Q22328259,Tour of Baikonur,Tour of Baikonur,Тур Байконура,1,0,1,0.0,100.0
Q22328402,Tour of Oskemen,Tour of Oskemen,Тур Усть-Каменогорска,1,0,1,0.0,100.0
Q22328407,Tour of Burabay,Tour of Burabay,Тур Бурабая,1,0,1,0.0,100.0
Q22328526,Tour of Kapchagay,Tour of Kapchagay,Тур Капчагая,1,0,1,0.0,100.0
Q22333025,Kazakhstani legislative election,Kazakhstani legislative election,Kazakhstani legislative election,10,6,4,60.0,40.0
Q223371,stock market index,Қор индексі,фондовый индекс,1,0,1,0.0,100.0
Q223393,literary genre,әдеби жанр,литературный жанр,1,1,0,100.0,0.0
Q2244884,Dnestr radar,Dnestr radar,Днестр,1,0,1,0.0,100.0
Q22667,railway,Темір жол,железная дорога,3,1,2,33.33,66.67
Q22674925,former settlement,former settlement,бывший населённый пункт,74,32,42,43.24,56.76
Q22676729,time by area,time by area,время по регионам,1,1,0,100.0,0.0
Q22687,bank,Банк,банк,18,10,8,55.56,44.44
Q2269756,ministry of education,ministry of education,министерство образования,3,3,0,100.0,0.0
Q22698,park,park,парк,22,11,11,50.0,50.0
Q22706,vehicle registration plate,автомобиль нөмірлері,автомобильные номера,1,1,0,100.0,0.0
Q22746,urban park,urban park,городской парк,4,1,3,25.0,75.0
Q22806,,,,2,2,0,100.0,0.0
Q22808403,,,,11,11,0,100.0,0.0
Q22907440,Congress of Leaders of World and Traditional Religions,Әлемдік және дәстүрлі діндер лидерлерінің съезі,Congress of Leaders of World and Traditional Religions,1,0,1,0.0,100.0
Q23036198,hostage-rescue mission,hostage-rescue mission,миссия по спасению заложников,1,0,1,0.0,100.0
Q23058156,,,,2,2,0,100.0,0.0
Q2306612,national road cycling championship,national road cycling championship,Национальный чемпионат по шоссейному велоспорту,13,0,13,0.0,100.0
Q231002,nationality,nationality,национальность,1,1,0,100.0,0.0
Q2319498,architectural landmark,architectural landmark,памятник архитектуры,12,4,8,33.33,66.67
Q2321921,type of legal entity in Russia,type of legal entity in Russia,тип некоммерческих организаций в России,1,1,0,100.0,0.0
Q233324,seminary,семинария,семинария,2,1,1,50.0,50.0
Q2334719,legal case,legal case,судебное дело,1,1,0,100.0,0.0
Q233591,communist party,Коммунистік Партия,коммунистическая партия,1,1,0,100.0,0.0
Q2338524,motorsport racing track,Автодром,автодром,1,0,1,0.0,100.0
Q23397,lake,көл,озеро,1682,574,1108,34.13,65.87
